master_name,master_file_path,created_by_proc_name,created_by_proc_path,used_in_proc_name,used_in_proc_path
ECDL_TRXDFCTS_TREND,output\EDA\EDASERVE\ops_analytics\data\hold\acm\ecdl_trxdfcts_trend.mas,ecdl_trend.fex,output\WFC\Repository\Ops_Analytics\ACM\Dashboards\Line_Mtce\eCDL\ecdl_trend.fex,,
ECDL_TRXDFCTS_TREND_BY_MONTH,output\EDA\EDASERVE\ops_analytics\data\hold\acm\ecdl_trxdfcts_trend_by_month.mas,ecdl_trend.fex,output\WFC\Repository\Ops_Analytics\ACM\Dashboards\Line_Mtce\eCDL\ecdl_trend.fex,,
EMPLOYEEINFOFROMAD,output\EDA\EDASERVE\ops_analytics\data\hold\acm\employeeinfofromad.mas,EmployeeInfoFromAD.fex,output\WFC\Repository\Ops_Analytics\ACM\Reports\SR9\EmployeeInfoFromAD.fex,,
ERJ190,output\EDA\EDASERVE\ops_analytics\data\hold\acm\erj190.mas,,,,
ETOPSA_ALL,output\EDA\EDASERVE\ops_analytics\data\hold\acm\etopsa_all.mas,rsi_etopsa.fex,output\WFC\Repository\Ops_Analytics\ACM\Reports\Fleet_Management\FTPS\rsi_etopsa.fex,,
ETOPSA_HOLD,output\EDA\EDASERVE\ops_analytics\data\hold\acm\etopsa_hold.mas,rsi_xtrctb.fex,output\WFC\Repository\Ops_Analytics\ACM\Reports\Fleet_Management\FTPS\rsi_xtrctb.fex,,
ETOPSA_HOLD0,output\EDA\EDASERVE\ops_analytics\data\hold\acm\etopsa_hold0.mas,,,,
ETOPSC_HOLD,output\EDA\EDASERVE\ops_analytics\data\hold\acm\etopsc_hold.mas,,,,
ETOPSC_HOLD0,output\EDA\EDASERVE\ops_analytics\data\hold\acm\etopsc_hold0.mas,,,,
FCST_ALL_HOLD,output\EDA\EDASERVE\ops_analytics\data\hold\acm\fcst_all_hold.mas,,,,
FDE_INFO,output\EDA\EDASERVE\ops_analytics\data\hold\acm\fde_info.mas,,,,
FDE_UNIQUE_INFO,output\EDA\EDASERVE\ops_analytics\data\hold\acm\fde_unique_info.mas,,,,
