Procedure Name,Procedure Path,Master Name,Master Path
Daily_OpsABS_Report.fex,/output/Executive_Reports/Absenteeism/Daily_OpsABS_Report.fex,btw_absenteeism_historical,/output/ops/btw_absenteeism_historical.mas
Daily_OpsABS_Report.fex,/output/Executive_Reports/Absenteeism/Daily_OpsABS_Report.fex,cabinservices_absenteeism_historical,/output/ops/cabinservices_absenteeism_historical.mas
Daily_OpsABS_Report.fex,/output/Executive_Reports/Absenteeism/Daily_OpsABS_Report.fex,soc_absenteeism_historical,/output/ops/soc_absenteeism_historical.mas
fops_crew_expenses_pbs_freeze.fex,/output/OPS_BI_Tool/Flight_Ops_Reports/Monthly_Crew_Pairing/fops_crew_expenses_pbs_freeze.fex,pbs_pb,/output/fops/pbs_pb.mas
BHPP_and_PTB.fex,/output/FOPs_Reports/Flight_Ops_Reports/BHPP_and_PTB.fex,flt_crew_pay_501,/output/fops/flt_crew_pay_501.mas
ifs_dh_pbs_freeze.fex,/output/OPS_BI_Tool/IFS_Reports/ifs_dh_pbs_freeze.fex,cab_crew_pbs_si,/output/fops/cab_crew_pbs_si.mas
ifs_dh_pbs_freeze.fex,/output/OPS_BI_Tool/IFS_Reports/ifs_dh_pbs_freeze.fex,cab_crew_pbs_fd,/output/fops/cab_crew_pbs_fd.mas
ifs_dh_pbs_freeze_RV.fex,/output/OPS_BI_Tool/IFS_Reports/ifs_dh_pbs_freeze_RV.fex,cab_crew_pbs_si,/output/fops/cab_crew_pbs_si.mas
ifs_dh_pbs_freeze_RV.fex,/output/OPS_BI_Tool/IFS_Reports/ifs_dh_pbs_freeze_RV.fex,cab_crew_pbs_fd,/output/fops/cab_crew_pbs_fd.mas
CUPE_External.fex,/output/OPS_BI_Tool/IFS_Reports/CUPE_External.fex,cab_crew_pbs_si,/output/fops/cab_crew_pbs_si.mas
CUPE_External.fex,/output/OPS_BI_Tool/IFS_Reports/CUPE_External.fex,cab_crew_pbs_fs,/output/fops/cab_crew_pbs_fs.mas
CUPE_External.fex,/output/OPS_BI_Tool/IFS_Reports/CUPE_External.fex,ifs_cupe_external_data,/output/ifs/ifs_cupe_external_data.mas
CUPE_Internal.fex,/output/OPS_BI_Tool/IFS_Reports/CUPE_Internal.fex,cab_crew_pbs_si,/output/fops/cab_crew_pbs_si.mas
